,ID,Tên địa điểm,Giờ mở cửa,Giá vé / Giá nước,Địa chỉ,Class1,Class2,Link TikTok,Lat,Lon
,P001,Chợ Đà Lạt,,,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Đường Nguyễn Thị Minh Khai, Phường 1, Đà Lạt, Lâm Đồng) ",Manmade,,https://www.tiktok.com/@sasavivudalat/video/7551700508931640583?q=Review%20v%E1%BB%81%20ch%E1%BB%A3%20%C4%91%C3%A0%20l%E1%BA%A1t&t=1761031204584,11.9429643,108.4368668
,P002,Dinh tỉnh trưởng,7:30 - 17:00,,"1 Lý Tự Trọng, Phường 1, TP. Đà Lạt",History,,https://www.tiktok.com/@our.30s/video/7296432091078642962?q=Dinh%20t%E1%BB%89nh%20tr%C6%B0%E1%BB%9Fng&t=1761128694922,11.9442649,108.4394625
,P003,Quảng trường Lâm Viên,,,"Đ. Trần Quốc Toản, Phường 1, Đà Lạt, Lâm Đồng",Manmade,,https://www.tiktok.com/@tom_laoshi/video/7506102333521022216?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,11.93959,108.4464
,P004,Hồ Xuân Hương Đà Lạt,,,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Phường 1 trung tâm thành phố Đà Lạt, tỉnh Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@tiemanhbaprangbo/video/7424869261836881159,11.941607465928653,108.446715527912
,P005,Chùa Linh Sơn Đà Lạt,6:00 – 20:00,,"120 Nguyễn Văn Trỗi, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 120 Nguyễn Văn Trỗi, Phường 2, Đà Lạt, Lâm Đồng) ",Spiritual,Healing,https://www.tiktok.com/search?q=review%20ch%C3%B9a%20linh%20s%C6%A1n%20%C4%91%C3%A0%20l%E1%BA%A1t&t=1761033861544,11.9502832,108.4368776
,P006,Nhà Thờ Don Bosco Đà Lạt,05:30 – 06:30 và 17:30 – 18:30,,"4 Bùi Thị Xuân, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 4 Đường Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng) ",Spiritual,,https://www.tiktok.com/@haristudalat/video/7534257214891101448,11.9438938,108.4405289
,P007,Thác Datanla Đà Lạt,7:30 – 17:00,Chỉ từ 120.000 VND/ người (Cáp treo),"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : QL20 Đèo Prenn, Phường 3, Đà Lạt, Lâm Đồng) ",Sporty,"50% nature, 50% human",https://www.tiktok.com/@nhandian/video/7468691106100776200,11.90360032826133,108.44985008001639
,P008,Đồi Robin Đà Lạt,07:30 - 11:30 và 13:00 - 16:30,Chỉ từ 120.000 VND/ người,"Số 1 Đống Đa, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Số 1 đường Đống Đa, phường 3, thành phố Đà Lạt, tỉnh Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@giaygiaydalat/video/7546573939363826952,11.9238724,108.4444549
,P009,Cổng trời Bali Đà Lạt Greenhills,6:00 - 18:00,Chỉ từ 100.000 VND/ người,"3 Bis Đống Đa, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 3 Bis Đường Đống Đa, Phường 3, Đà Lạt, Lâm Đồng) ",Cafe,,https://www.tiktok.com/@du_lich_dalat/video/7215480060214627611,11.9243016,108.4458335
,P010,Thiền Viện Trúc Lâm,5:00 - 21:00,,"đường Trúc Lâm Yên Tử, Phường 3, thành phố Đà Lạt, tỉnh Lâm Đồng",Spiritual,Healing,https://www.tiktok.com/@dvnhadatminhkhuedt/video/7444088526100122898?is_from_webapp=1&sender_device=pc&web_id=7448288262777325077,11.9012003,108.44181
,P011,Tea Resort Prenn Đà Lạt,7:00 - 17:00,Chỉ từ 220.000 VND/ người,"Cầu chân đèo Prenn, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Cầu chân đèo Prenn, Phường 3, Đà Lạt, Lâm Đồng) ",Manmade,Sporty,https://www.tiktok.com/@nguyenphudalat/video/7485334798311968017,11.87942,108.4707342
,P012,Nhà Thờ Con Gà Đà Lạt,05:15 – 06:15 và 17:15 –18:15,,"15 Trần Phú, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : 15 Đ. Trần Phú, Phường 3, Đà Lạt, Lâm Đồng) ",Spiritual,History,https://www.tiktok.com/@hoiuc_dalat/video/7470951886837828871,11.9360336,108.4378049
,P013,Hồ Tuyền Lâm Đà Lạt,,,"Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Phường 4, Đà Lạt, Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@tumuondimuonnoi/video/7443722276912041232,11.900894685473089,108.42982852035375
,P014,Khu vui chơi Dalat Wonderland Đà Lạt,8:00 - 17:00,Chỉ từ 300.000 VND/ người,"Khu du lịch Quốc gia Hồ Tuyền Lâm, 19 Đ. Hoa Hồng, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Khu du lịch Quốc gia Hồ Tuyền Lâm, 19 Đ. Hoa Hồng, Phường 4, Đà Lạt, Lâm Đồng) ",Sporty,"50% nature, 50% human",https://www.tiktok.com/@didalatcungtruc/video/7322690359417507073,11.896116376228992,108.41272284232866
,P015,Đồi chè Cầu Đất Farm Đà Lạt,6:00 - 18:00,,"Xuân Trường, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Xuân Trường, Phường 4, Đà Lạt, Lâm Đồng) ",Healing,"50% nature, 50% human",https://www.tiktok.com/@rongchoidalattravel/video/7558673547804151048,11.883928146719747,108.56063908633934
