ID,Name_EN,Address_EN,Time_Tags_EN
E001,The Lam,"35 Street Lý Tự Trọng, Ward 1 Cũ, Da Lat, Lâm Đồng, Việt Nam",Dinner
E002,Sa Bi Chuong Broken Rice - Da Lat,"1F Nam Kỳ Khởi Nghĩa, Ward 1, Da Lat, Lâm Đồng 66000, Việt Nam",All day
E003,SUGAR BREAD AND SUMMER BREAD,"14 Street Ánh Sáng, Ward 1, Da Lat, Lâm Đồng, Việt Nam",Dinner
E004,Da Lat Pho Restaurant - Restaurant,"38 Street Tăng Bạt Hổ, Ward 1, Da Lat, Lâm Đồng 66100, Việt Nam",All day
E005,Happy Thai Dalat - Delicious Thai Dishes,"21 Đ. Nguyễn Văn Cừ, Ward 1, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E006,Ngu Son sturgeon hotpot CN1,"33/15/3, Phan Đình Phùng, Ward 1, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E007,Da Lat Kitchen Restaurant - peace area,"69 Phan Bội Châu, Ward 1, Da Lat, Lâm Đồng, Việt Nam",All day
E008,Ma La Hot Pot - Delicious hot pot restaurant in Dalat,"22 Đ. Nguyễn Văn Cừ, Ward 1, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E009,Thai dish - Khap Bun Kha,"26 Đ. Nguyễn Văn Cừ, Ward 1, Da Lat, Lâm Đồng 670000, Việt Nam",All day
E010,Fungi Chingu Night Market,"1 Street Nguyễn Thị Minh Khai, Ward 1, Da Lat, Lâm Đồng 66110, Việt Nam",All day
E011,Grilled to fullness,"4 Đ Phạm Ngũ Lão, Ward 1, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E012,GoGi House Dalat,"05 Đ. Nguyễn Chí Thanh, Ward 1, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E013,3 Meals a Day restaurant - restaurant number 2,"37 Street Đống Đa, Ward 3, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E014,Thuong Thuong Grill Shop,"30 Đặng Thái Thân, Ward 3, Da Lat, Lâm Đồng 670000, Việt Nam",Lunch/Dinner
E015,Gangnam-Gu Hot Pot - Grill,"155 Street Hà Huy Tập, Ward 3, Da Lat, Lâm Đồng, Việt Nam",All day
E016,PICNIC GO - PORK RICE & GRILLED POTS,"17B Street Đặng Thái Thân, Ward 3, Da Lat, Lâm Đồng 670000, Việt Nam",Lunch/Dinner
E017,Chicken Shop Halfway Up The Hill,"hẻm 1 Street Đặng Thái Thân, Ward 3, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E018,Banana Leaf Rice,"23/2 Đ. Trần Phú, Ward 3, Da Lat, Lâm Đồng 670000, Việt Nam",Lunch/Dinner
E019,Cloud Grill,"19A Đặng Thái Thân, Ward 3, Da Lat, Lâm Đồng 67000, Việt Nam",Lunch/Dinner
E020,Ba Nam Chut Restaurant,"2e Ba Tháng Tư, Ward 3, Da Lat, Lâm Đồng, Việt Nam",All day
E021,Chill Grill Restaurant in Dalat,"Hẻm 1 Street Đặng Thái Thân, Ward 3, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E022,Nhu Ngoc Rice Pot Restaurant,"1/18 Hồ Tùng Mậu, Ward 3, Da Lat, Lâm Đồng, Việt Nam",All day
E023,Carrot Restaurant - Delicious European dishes in Dalat,"36 Street Bà Triệu, Ward 3, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E024,Garden of Dreams Quan,"11A Street Nhà Chung, Ward 3, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E025,Popular restaurant 369,"2 Street Lương Thế Vinh, Ward 3, Da Lat, Lâm Đồng, Việt Nam",
E026,Osaka garden restaurant,"Street hoa đổ quyên hồ, Tuyền Lâm, Ward 3, Tp. Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E027,From Sen vegetarian and cafe Da Lat,"4 Street Lương Thế Vinh, Ward 3, Da Lat, Lâm Đồng, Việt Nam",All day
E028,Baked Da Lat and Me,"24 3 Tháng 4, Ward 3, Da Lat, Lâm Đồng 67000, Việt Nam",Lunch/Dinner
E029,Pine Grill Shop,"31/3 3 Tháng 4, Ward 3, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E030,PHO AN Dalat,"23/5 Đ. Trần Phú, Ward 3, Da Lat, Lâm Đồng, Việt Nam",Breakfast/Lunch
E031,Hoi Xua Restaurant,"2 Street Hà Huy Tập, Ward 3, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E032,Meli Grill Shop,"2 Street Đặng Thái Thân, Ward 3, Da Lat, Lâm Đồng 660000, Việt Nam",Lunch/Dinner
E033,Banh Can Nha Chung,"1 Street Nhà Chung, Ward 3, Da Lat, Lâm Đồng, Việt Nam",All day
E034,LONG chicken intestine wet cake,"202/2/5, Phan Đình Phùng, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
E035,Banh Mi Xiu Mai Ri 79 (Opposite Tinh Doi gas station),"2 Street Thông Thiên Học, Ward Lâm Viên, Da Lat, Lâm Đồng 670000, Việt Nam",All day
E036,Grilled Ram and Corn Nem Tan Long,"290 Đ. Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E037,Pho Tho Chu Gia,"29 Street Thông Thiên Học, Ward 2, Da Lat, Lâm Đồng 66000, Việt Nam",All day
E038,Tuyen 2 Sturgeon Hotpot Da Lat,"Khu quy hoạch/Lô 75 Nguyễn Công Trứ, Ward 2, Da Lat, Lâm Đồng 67000, Việt Nam",Lunch/Dinner
E039,Tasty pan bread,"245 Street Hai Bà Trưng, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
E040,A Cat cake can,"H55 Nguyễn Thị Nghĩa, Ward 2, Da Lat, Lâm Đồng 66109, Việt Nam",All day
E041,Fungi Chingu,"29 Street Võ Thị Sáu, Ward 2, Da Lat, Lâm Đồng 66109, Việt Nam",Lunch/Dinner
E042,Uncle La Snakehead Fish Soup,"148 Street Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
E043,Cao Chinese Noodle Shop,"217 Phan Đình Phùng, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
E044,Pho Phi Thuyen,"78 Phan Đình Phùng, Ward 2, Da Lat, Lâm Đồng, Việt Nam",Breakfast/Dinner
E045,MiMi Sushi & Pizza Restaurant,"103 Street Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E046,Singapore Frog Porridge 151 Da Lat,"151 Street Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E047,Da Lat Smoke BBQ Grilled Hot Pot Restaurant,"178 Street Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E048,Thanh Dam vegetarian rice,"99C Nguyễn Văn Trỗi, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
E049,VEGAN corner in Dalat - Vietnamese Dumplings,"91 Nguyễn Văn Trỗi, Ward 2, Da Lat, Lâm Đồng 660000, Việt Nam",All day
E050,Stir-fried Pho Lam,"97 Nguyễn Văn Trỗi, Ward 2, Da Lat, Lâm Đồng 670000, Việt Nam",Lunch/Dinner
E051,A Ty Fried Dough,"172 Nguyễn Văn Trỗi, Ward 2, Da Lat, Lâm Đồng, Việt Nam",Lunch/Dinner
E052,Kami sells grilled meat,"107a Nguyễn Văn Trỗi, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
E053,Auntie Sau's noodle soup,"22 Street Võ Thị Sáu, Ward 2, Da Lat, Lâm Đồng, Việt Nam",Breakfast/Lunch
E054,Dalat Firewood Rice (118 Bui Thi Xuan),"118 Street Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng 67000, Việt Nam",All day
E055,DELICIOUS FROG - Da Lat Frog Porridge,"110 Street Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng 66000, Việt Nam",Lunch/Dinner
E056,An Lac Tam vegetarian restaurant,"104 Street Bùi Thị Xuân, Ward 2, Da Lat, Lâm Đồng, Việt Nam",All day
