ID,Name_EN,Address_EN,Highlight_EN,Tags_EN
P001,Da Lat Market,"Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : St. Nguyễn Thị Minh Khai, Ward 1, Da Lat, Lam Dong) ","Da Lat's central market, where specialties, sweaters and fresh agricultural products converge every morning. Don't forget to visit the night food area to enjoy hot soy milk and fragrant baked goods.",Manmade
P002,Provincial Governor's Palace,"1 Lý Tự Trọng, Ward 1, TP. Da Lat","The ancient French villa is located on a quiet pine hill, preserving the imprint of the Indochina governor-general period. The art exhibition space and view of Xuan Huong Lake make this place ideal for those who love photography.",History
P003,Lam Vien Square,"Đ. Trần Quốc Toản, Ward 1, Da Lat, Lam Dong","The iconic square with giant glass artichoke buds and wild sunflowers stands out in the heart of the city. On a windy afternoon, you can stroll to see Xuan Huong Lake and take beautiful sunset photos.",Manmade
P004,Xuan Huong Lake Da Lat,"Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : Ward 1 trung tâm thành phố Da Lat, tỉnh Lam Dong) ","The lake winding in the middle of the city is considered the heart of Da Lat. Covered in fog early in the morning, in the evening, pedaling ducks to see the street lights is an unforgettable romantic experience.",Pure nature
P005,Linh Son Pagoda Da Lat,"120 Nguyễn Văn Trỗi, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : 120 Nguyễn Văn Trỗi, Ward 2, Da Lat, Lam Dong) ",An old temple with a moss-tiled roof and solemn Buddha statues in the middle of a bonsai garden. The bell ringing at dusk brings a rare feeling of tranquility.,Spiritual
P006,Don Bosco Church Da Lat,"4 Bùi Thị Xuân, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : 4 St. Bùi Thị Xuân, Ward 2, City Da Lat, Lam Dong) ","The small church has simple European architecture, highlighted by white colors and colorful glass doors. Coming here during the early morning ceremony, you will fully feel the peaceful religious life of Da Lat people.",Spiritual
P007,Datanla Waterfall Da Lat,"Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : QL20 Đèo Prenn, Ward 3, Da Lat, Lam Dong) ","Cascading waterfalls in the middle of the pine forest, accompanied by the famous Alpine Coaster slide system. During the rainy season, the water pours white, this is also a refreshing stop in the middle of a journey to explore the suburbs.",Sporty
P008,Robin Hill Da Lat,"No. 1 Đống Đa, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : No. 1 đường Đống Đa, phường 3, thành phố Da Lat, tỉnh Lam Dong) ",The high hill opens up a panoramic view of the city and Xuan Huong Lake from above. The cable car station here takes you across the green pine valley to Truc Lam Zen Monastery in just a few minutes.,Pure nature
P009,Bali Heaven's Gate Da Lat Greenhills,"3 Bis Đống Đa, Ward Xuân Hương - Da Lat, Province Lam Dong ( Old address : 3 Bis St. Đống Đa, Ward 3, Da Lat, Lam Dong) ","Virtual living complex with Balinese sky gate, wooden swing and green mountain view. Early morning with few people is the ideal time to capture beautiful reflection photos.",Cafe
P010,Truc Lam Zen Monastery,"đường Trúc Lâm Yên Tử, Ward 3, thành phố Da Lat, tỉnh Lam Dong","The Zen monastery is located next to Tuyen Lam Lake, with pure architecture in the middle of a vast pine forest. The cool breeze corridor and always well-cared-for flower garden make your soul feel cleansed.",Spiritual
